"Tøj, sport- og fritidsudstyr";"Alder: 16-19 år";65;65;66;68;64;71;75;76;74;84;84;81;81;81;82
"Tøj, sport- og fritidsudstyr";"Alder: 20-39 år";44;48;53;59;59;65;69;66;71;73;74;77;69;74;75
"Tøj, sport- og fritidsudstyr";"Alder: 40-59 år";37;39;43;48;52;50;55;60;63;68;67;71;66;72;70
"Tøj, sport- og fritidsudstyr";"Alder: 60-74 år";19;20;20;25;23;30;31;32;34;43;38;45;47;49;50
